Record;City;OtherName;Country;Latitude;Longitude;Certainty;year;pop;cityid
5386;Boston;;United States of America;42.358431;-71.059772;1;1800;35248;Boston_42.4_-71.1
5387;Bratislava;Pozsony, Pressburg;Slovakia;48.145892;17.107136;2;1800;18000;Bratislava_48.1_17.1
5388;Braunschweig;Brunswick;Germany;52.268875;10.526769;1;1800;31000;Braunschweig_52.3_10.5
5389;Bremen;;Germany;53.07516;8.80777;1;1800;28000;Bremen_53.1_8.8
5390;Brescia;;Italy;45.52478;10.22727;1;1800;27000;Brescia_45.5_10.2
5391;Brest;;France;48.3908;-4.486075;1;1800;27000;Brest_48.4_-4.5
5392;Bristol;;United Kingdom;51.45523;-2.59665;1;1800;66000;Bristol_51.5_-2.6
5393;Broach;;India;21.724644;73.002294;3;1800;35000;Broach_21.7_73
5394;Brugge;Bruges;Belgium;51.210819;3.224936;1;1800;31000;Brugge_51.2_3.2
5395;Brunn;Brno;Austria;49.2;16.6167;2;1800;22000;Brunn_49.2_16.6
5396;Brussel;Brussels;Belgium;50.85045;4.34878;1;1800;66297;Brussel_50.9_4.3
5397;Bucharest;;Romania;44.43225;26.10626;1;1800;35000;Bucharest_44.4_26.1
5398;Budapest;;Hungary;47.49801;19.03991;1;1800;54000;Budapest_47.5_19
5399;Buenos Aires;;Argentina;-34.61315;-58.37723;1;1800;34000;Buenos Aires_-34.6_-58.4
5400;Bukhara;Bokhara;Uzbekistan;39.765869;64.422347;1;1800;70000;Bukhara_39.8_64.4
5401;Bursa;Brusa;Turkey;40.19266;29.08403;1;1800;50000;Bursa_40.2_29.1
5402;Busan;Pusan;Republic of Korea;35.179554;129.075642;3;1800;28000;Busan_35.2_129.1
5403;Cadiz;;Spain;36.52978;-6.29465;1;1800;87000;Cadiz_36.5_-6.3
5404;Caen;;France;49.18585;-0.35912;1;1800;29000;Caen_49.2_-0.4
5405;Cairo;Fostat, Fustat;Egypt;30.06263;31.24967;1;1800;186000;Cairo_30.1_31.2
5406;Calcutta;Kolkata;India;22.56263;88.36304;1;1800;162000;Calcutta_22.6_88.4
5407;Cambay;;India;22.313114;72.619408;3;1800;37000;Cambay_22.3_72.6
5408;Campulung Muscel;;Romania;47.5308;25.5514;1;1800;4000;Campulung Muscel_47.5_25.6
5409;Caracas;;Venezuela;10.48801;-66.87919;1;1800;30000;Caracas_10.5_-66.9
5410;Cartagena;;Spain;37.625683;-0.996583;1;1800;29000;Cartagena_37.6_-1
5411;Catania;;Italy;37.50213;15.08719;1;1800;48000;Catania_37.5_15.1
5412;Chandannagar;Chandernagore;India;22.87;88.38;2;1800;45000;Chandannagar_22.9_88.4
5413;Changchun;Hsinking, Kwangchingtsu;China;43.9;125.2;1;1800;30000;Changchun_43.9_125.2
5414;Changsha;;China;28.196111;112.972222;1;1800;85000;Changsha_28.2_113
5415;Chaozhou;Chaochow, Chaohsien;China;23.67;116.63;3;1800;40000;Chaozhou_23.7_116.6
5416;Charleston;South Carolina;United States of America;32.7833;-79.9333;1;1800;18844;Charleston_32.8_-79.9
5417;Chatham;;United Kingdom;51.37891;0.52786;2;1800;20000;Chatham_51.4_0.5
5418;Chengde;Jehol;China;40.966667;117.933333;3;1800;60000;Chengde_41_117.9
5419;Chengdu;;China;30.66667;104.06667;1;1800;97000;Chengdu_30.7_104.1
5420;Chhapra;;India;25.7848;84.7274;3;1800;35000;Chhapra_25.8_84.7
5421;Chinkiang;Zhenjiang;China;32.2;119.416667;2;1800;60000;Chinkiang_32.2_119.4
5422;Chongqing;Chonquing, Chungking;China;29.56301;106.551557;2;1800;53000;Chongqing_29.6_106.6
5423;Clermont;;France;45.7831;3.0824;2;1800;24000;Clermont_45.8_3.1
5424;Cochabamba;Oropesa;Bolivia;-17.3895;-66.1568;1;1800;22000;Cochabamba_-17.4_-66.2
5425;Cologne;Koln, Coln;Germany;50.937531;6.960278;1;1800;41000;Cologne_50.9_7
5426;Colombo;;Sri Lanka;6.9344;79.8428;1;1800;24000;Colombo_6.9_79.8
5427;Constantine;;Algeria;36.365;6.61472;1;1800;25000;Constantine_36.4_6.6
5428;Copenhagen;;Denmark;55.67594;12.56553;1;1800;100000;Copenhagen_55.7_12.6
5429;Cordoba;Cordova, Córdoba;Spain;38.046133;-4.893564;2;1800;28000;Cordoba_38_-4.9
5430;Cork;;Ireland;51.89797;-8.47061;1;1800;53000;Cork_51.9_-8.5
5431;Cremona;;Italy;45.13617;10.02797;1;1800;21111;Cremona_45.1_10
5432;Cuttack;;India;20.46497;85.87927;1;1800;35000;Cuttack_20.5_85.9
5433;Cuzco;;Peru;-13.525;-71.972222;1;1800;34000;Cuzco_-13.5_-72
5434;Damascus;;Syria;33.5102;36.29128;1;1800;90000;Damascus_33.5_36.3
5435;Datong;Taitong, Tatung;China;40.083333;113.3;2;1800;35000;Datong_40.1_113.3
5436;Debrecen;;Hungary;47.53333;21.63333;1;1800;27000;Debrecen_47.5_21.6
5437;Delhi;;India;28.65381;77.22897;1;1800;140000;Delhi_28.7_77.2
5438;Deri Ghazi Khan;;Pakistan;30.053049;70.637093;1;1800;31000;Deri Ghazi Khan_30.1_70.6
5439;Dhaka;Dacca;India;23.709921;90.407143;1;1800;106000;Dhaka_23.7_90.4
5440;Dieppe;;France;49.922992;1.077483;1;1800;20000;Dieppe_49.9_1.1
5441;Dijon;;France;47.31667;5.01667;1;1800;21000;Dijon_47.3_5
5442;Dinajpur;;Bangladesh;25.62745;88.63779;2;1800;30000;Dinajpur_25.6_88.6
5443;Diyarbakir;Diarbekr;Turkey;37.914411;40.230628;1;1800;38000;Diyarbakir_37.9_40.2
5444;Dongola;Pachoras, Mukarra;Sudan;19.16667;30.48333;1;1800;10000;Dongola_19.2_30.5
5445;Dresden;;Germany;51.05089;13.73832;1;1800;61000;Dresden_51.1_13.7
5446;Dublin;;Ireland;53.33306;-6.24889;1;1800;165000;Dublin_53.3_-6.2
5447;Dumyat;Damietta;Egypt;31.41648;31.81332;1;1800;22000;Dumyat_31.4_31.8
5448;Dundee;;United Kingdom;56.5;-2.96667;1;1800;25000;Dundee_56.5_-3
5449;Dunkerque;Dunkirk;France;51.0383;2.3775;1;1800;21000;Dunkerque_51_2.4
5450;Ecija;Écija ;Spain;37.5422;-5.0826;1;1800;24000;Ecija_37.5_-5.1
5451;Edessa;Urfa;Turkey;37.15;38.8;1;1800;22000;Edessa_37.1_38.8
5452;Edinburgh;;United Kingdom;55.95206;-3.19648;1;1800;82000;Edinburgh_56_-3.2
5453;Edirne;Adrianople;Turkey;41.681808;26.562269;1;1800;80000;Edirne_41.7_26.6
5454;Erzurum;Theodosiopolis, Erzerum;Turkey;39.90861;41.27694;1;1800;48000;Erzurum_39.9_41.3
5455;Esfahan;Isfahan;Iran;32.651389;51.679192;1;1800;50000;Esfahan_32.7_51.7
5456;Evora; Évora ;Portugal;38.56667;-7.9;1;1800;14200;Evora_38.6_-7.9
5457;Faizabad;Ayodhya, Ajodhya, Fyzabad;India;26.779386;82.142169;2;1800;45000;Faizabad_26.8_82.1
5458;Farrukhabad;;India;27.39048;79.58006;3;1800;66000;Farrukhabad_27.4_79.6
5459;Ferrara;;Italy;44.82678;11.62071;1;1800;28000;Ferrara_44.8_11.6
5460;Fez;Fes;Morocco;34.033333;-5.01;1;1800;40000;Fez_34_-5
5461;Florence;Firenze;Italy;43.771033;11.248;1;1800;61000;Florence_43.8_11.2
5462;Frankfurt am Main;;Germany;50.110922;8.682128;1;1800;42000;Frankfurt am Main_50.1_8.7
5463;Fukui;;Japan;36.065178;136.221527;1;1800;35000;Fukui_36.1_136.2
5464;Fukuoka;Hakata;Japan;33.591389;130.414722;2;1800;40000;Fukuoka_33.6_130.4
5465;Fuzhou;Fuchow, Hokchiu, Fujian province;China;26.076111;119.306389;1;1800;130000;Fuzhou_26.1_119.3
5466;Gauda;Lakhnauti, Gaur;India;24.866667;88.133333;2;1800;20000;Gauda_24.9_88.1
5467;Gaya;;India;24.79686;85.00385;1;1800;30000;Gaya_24.8_85
5468;Gdansk;Danzig;Poland;54.352025;18.64663;2;1800;41072;Gdansk_54.4_18.6
5469;Gelibolu;Gallipoli;Turkey;40.333333;26.499992;1;1800;17000;Gelibolu_40.3_26.5
5470;Geneva;Genève ;Switzerland;46.198392;6.142297;1;1800;26000;Geneva_46.2_6.1
5471;Genova;Genoa;Italy;44.40565;8.946256;1;1800;49000;Genova_44.4_8.9
5472;Gent;Ghent;Belgium;51.053469;3.730378;1;1800;51000;Gent_51.1_3.7
5473;Glasgow;;United Kingdom;55.86515;-4.25763;1;1800;84000;Glasgow_55.9_-4.3
5474;Gorakhpur;;India;26.760555;83.373168;2;1800;31000;Gorakhpur_26.8_83.4
5475;Granada;;Spain;37.177336;-3.598558;1;1800;53000;Granada_37.2_-3.6
5476;Graz;;Austria;47.06667;15.45;1;1800;28000;Graz_47.1_15.4
5477;Grenoble;;France;45.16667;5.71667;1;1800;21000;Grenoble_45.2_5.7
5478;Groningen;;Netherlands;53.21917;6.56667;1;1800;22000;Groningen_53.2_6.6
5479;Guadalajara;;Mexico;20.673819;-103.343489;1;1800;31000;Guadalajara_20.7_-103.3
5480;Guanajuato;;Mexico;21.01858;-101.2591;1;1800;53000;Guanajuato_21_-101.3
5481;Guangzhou;Canton;China;23.11667;113.25;1;1800;800000;Guangzhou_23.1_113.2
5482;Guatemala City;Iximche;Guatemala;14.64072;-90.51327;1;1800;25000;Guatemala City_14.6_-90.5
5483;Guayaquil;;Ecuador;-2.18194;-79.89167;1;1800;23000;Guayaquil_-2.2_-79.9
5484;Guilin;Gwilin, Kweilin;China;25.273566;110.290195;3;1800;38000;Guilin_25.3_110.3
5485;Guiyang;Gwiyang, Kweiyang;China;26.647661;106.630154;1;1800;65000;Guiyang_26.6_106.6
5486;Gwalior;;India;26.22982;78.17337;1;1800;30000;Gwalior_26.2_78.2
5487;Haarlem;;Netherlands;52.38084;4.63683;1;1800;21000;Haarlem_52.4_4.6
5488;Hama;;Syria;35.133333;36.75;2;1800;30000;Hama_35.1_36.8
5489;Hamadan;;Iran;34.79922;48.51456;1;1800;30000;Hamadan_34.8_48.5
5490;Hamburg;;Germany;53.57532;10.01534;1;1800;117000;Hamburg_53.6_10
5491;Hangzhou;Hangchow;China;30.25;120.166667;2;1800;387000;Hangzhou_30.2_120.2
